#,名称,スキル1,スキル2,スキル3,100pt,250pt,500pt,1000pt,1500pt,2500pt,3500pt,5000pt,7500pt,10000pt
345,ビギナーズリング,ラッキーパンチ,マジックアタック,ラピッドムーブ,XPバフ,OPTバフ,XPギア,ムーブギア,コインギア,XPバフ,XPバフ,LUKバフ,XPギア,XPバフ
346,フレアリング,ラッシュ,フレア,とどめ,フレアギア,アーマーギア,フレアギア,ATKバフ,マジックギア,フレアギア,マジックギア,INTバフ,フレアギア,INTバフ
347,アクアリング,ダッシュアタック,アクア,ラピッドムーブ,アクアギア,スローギア,アクアギア,LUKバフ,マジックギア,アクアギア,マジックギア,IMTバフ,アクアギア,INTバフ
348,リーフリング,ボディアタック,リーフ,XPアップ,,,,,,,,,,
349,,,,,,,,,,,,,,
350,,,,,,,,,,,,,,
351,スライムリング,ボディアタック,アクア,スローシャワー,,,,,,,,,,
352,,,,,,,,,,,,,,
353,,,,,,,,,,,,,,
354,ストーンリング,タックル,スタンアタック,めいそう,,,,,,,,,,
355,,,,,,,,,,,,,,
356,ホーリーリング,ライト,スタンショック,ふいうち,,,,,,,,,,
357,カオスリング,スローアタック,ダーク,ポイズンミスト,ダークギア,ATKバフ,ポイズンギア,ダークギア,INTバフ,ダメージギア,INTバフ,アクションギア,ポイズンギア,ATKバフ
358,コインリング,チャージ,ライト,コインプラス,,,,,,,,,,
359,,,,,,,,,,,,,,
360,インセクトリング,スローアタック,リーフ,ふいうち,,,,,,,,,,
361,ゴブリング,タックル,スタンアタック,デスマーチ,,,,,,,,,,
362,アニマルリング,アクセル,ダッシュアタック,クリティカル+20%,,,,,,,,,,
363,,,,,,,,,,,,,,
364,リザードリング,マジックアタック,ポイズンアタック,カウンター,リザードギア,VITバフ,リザードギア,フレアギア,ATKバフ,ATKバフ,XPバフ,VITバフ,リザードギア,XPバフ
365,アンデッドリング,ポイズンアタック,スローシャワー,デスマーチ,アンデッドギア,ポイズンギア,アンデッドギア,VITバフ,ATKバフ,XPバフ,ATKバフ,,,
366,,,,,,,,,,,,,,
367,,,,,,,,,,,,,,
368,アタックリング,ラッシュ,マジックアタック,クリティカル+20%,,,,,,,,,,
369,インテリング,チャージ,マジックボール,エンカウンター,,,,,,,,,,
370,,,,,,,,,,,,,,
371,スピードリング,アクセル,ダッシュアタック,ラピッドムーブ,SPDバフ,スローギア,アクションギア,SPDバフ,アーマーギア,SPDバフ,,,,
372,ラッキーリング,ラッキーパンチ,ランダムマジック,コインプラス,LUKバフ,クリティカルギア,コインギア,LUKバフ,アクションギア,LUKバフ,OPTバフ,LUKバフ,コインギア,LUKバフ
373,クリスタルリング,マジックボール,ランダムマジック,コインプラス,LUKバフ,メダマギア,INTバフ,ライトギア,LUKバフ,コインギア,マジックギア,クリティカルギア,INTバフ,LUKバフ
374,,,,,,,,,,,,,,
375,,,,,,,,,,,,,,
376,スプリングリング,チャージ,スタンショック,ステップムーブ,,,,,,,,,,
377,,,,,,,,,,,,,,
378,,,,,,,,,,,,,,
379,,,,,,,,,,,,,,
380,,,,,,,,,,,,,,
381,スカルリング,ダーク,ライフドレイン,ポイズンミスト,ポイズンギア,INTバフ,XPバフ,ダークギア,,,,,,
382,クラウンリング,ライト,おいのり,エンカウンター,LUKバフ,スライムギア,XPバフ,ライトギア,OPTバフ,,,,,
383,,,,,,,,,,,,,,
384,クラブリング,ガード,アクア,カウンター,XPバフ,アクアギア,VITバフ,シールドギア,アクションギア,VITバフ,アクアギア,ATKバフ,VITバフ,VITバフ
385,フラワーリング,リーフ,キュア,エンカウンター,リーフギア,スローギア,XPバフ,ポイズンギア,LUKバフ,リーフギア,,,,
386,,,,,,,,,,,,,,
387,,,,,,,,,,,,,,
388,,,,,,,,,,,,,,
389,タイムリング,アクセル,スローアタック,ラピッドムーブ,,,,,,,,,,
390,クローバーリング,ランダムアタック,リーフ,ステップムーブ,,,,,,,,,,
391,,,,,,,,,,,,,,
