#,名称,ドロップ,ドロップ,ドロップ,ドロップ,ドロップ,スキル1,スキル2,スキル3,100pt,250pt,500pt,1000pt,1500pt,2500pt,3500pt,5000pt,7500pt,10000pt
392,ツィギー,きのえだ,きのいた,ぼくとう,ハンターローブ,ビギナーズリング,ジャブ,マジックアタック,リーフ,コインギア,アクションギア,VITバフ,XPバフ,リザードギア,リーフギア,INTバフ,インセクトギア,VITバフ,XPバフ
393,ギョッピィ,アクアロッド,サカナ,アクアハンマー,ふうすいローブ,アクアリング,マジックボール,ラッキーパンチ,アクア,アクアギア,XPバフ,INTバフ,スローギア,アクアギア,スライムギア,コインギア,デビルギア,INTバフ,INTバフ
394,リーフィ,リーフロッド,リーフシールド,ウッドダイス,はっぱ,リーフリング,ラッキーパンチ,リーフ,XPアップ,リーフギア,XPバフ,マジックギア,アンデッドギア,ポイズンギア,INTバフ,リーフギア,LUKバフ,マジックギア,VITバフ
395,スライム,グミボール,ナイトアーマー,こんぼう,ゲルダイス,スライムリング,タックル,スローアタック,アクア,XPバフ,アニマルギア,XPギア,ゴブリンギア,VITバフ,アーマーギア,VITバフ,スローギア,XPバフ,XPバフ
396,キラーサーペント,ガントレット,ビギナーズリング,ロングソード,シルバーアックス,ナイトアーマー,タックル,ダッシュアタック,ポイズンミスト,,,,,,,,,,
397,,,,,,,,,,,,,,,,,,,
398,ニードルタートル,フレイル,かめのこうら,つりざお,,トゲトゲシールド,ガード,タックル,ジャブ,,,,,,,,,,
399,ヒートスライム,ファイヤーロッド,フレイムガード,ファイヤーアーマー,フレアリング,ナベのフタ,チャージ,マジックアタック,フレア,フレアギア,XPぎあ,XPバフ,リザードギア,アンデッドギア,フレアギア,マジックギア,VITバフ,XPバフ,INTバフ
400,マンティス,かたな,アサシンローブ,カットラス,リーフカッター,デスサイズ,ジャブ,ソニックウェーブ,マジックアタック,,,,,,,,,,
401,バグスカルゴ,ストーンボウ,ダンボール,スネイルガード,ビッグシールド,ウッドハンマー,チャージ,スローアタック,XPアップ,,,,,,,,,,
402,キラービー,スティンガー,ハチミツ,クナイ,ちゅうしゃき,インセクトリング,アクセル,ポイズンミスト,ステップムーブ,クリティカルギア,ポイズンギア,SPDバフ,ムーブギア,メダマギア,アクションギア,ATKバフ,メダマギア,,
403,キャタピラー,スパイクシールド,インセクトリング,ダガー,,シーフローブ,ラッキーパンチ,ボディアタック,ふいうち,リザードギア,ATKバフ,LUKバフ,インセクトギア,ダークギア,スタンギア,クリティカルギア,ポイズンギア,LUKバフ,ATKバフ
404,ビッグテール,フライパン,ビッグドングリ,ウッドダイス,クマちゃんハンマー,,タックル,ランダムアタック,リーフ,,,,,,,,,,
405,ボールキャット,ねこじゃらし,タイヤ,,ネコミミフード,ラッキーリング,マジックボール,タックル,ラッシュ,SPDバフ,ムーブギア,アニマルギア,コインギア,LUKバフ,XPバフ,ムーブギア,SPDバフ,アニマルギア,SPDバフ
406,ジラフィ,にょいぼう,キリン,エレキランス,むぎわらぼうし,スプリングリング,ダッシュアタック,マジックアタック,エンカウンター,ムーブギア,XPバフ,コインギア,,,,,,,
407,,,,,,,,,,,,,,,,,,,
408,クソデッパ,ハブラシ,バナナ,きのえだ,ビッグドングリ,アニマルリング,ランダムアタック,とどめ,コインプラス,,,,,,,,,,
