#,名称,スキル1,スキル2,スキル3,100,250,500,1000,1500,2500,3500,5000,7500,10000
176,ナベのふた,タックル,アクア,ラピッドムーブ,,,,,,,,,,
177,きのいた,ガード,タックル,デスマーチ,,,,,,,,,,
178,サカナ,ラッキーパンチ,アクア,デスマーチ,,,,,,,,,,
179,リーフシールド,マジックアタック,リーフ,ラピッドムーブ,リーフギア,ムーブギア,SPDバフ,アクションギア,,,,,,
180,グミボール,ラッキーパンチ,スローアタック,XPバフ,,,,,,,,,,
181,ミラーシールド,マジックアタック,おいのり,カウンター,,,,,,,,,,
182,ガントレット,チャージ,タックル,カウンター,ダメージギア,,,,,,,,,
183,かめのこうら,アクア,めいそう,カウンター,,,,,,,,,,
184,フレイムガード,マジックボール,フレア,エンカウンター,,,,,,,,,,
185,ダンボール,ランダムアタック,フレア,コインプラス,,,,,,,,,,
186,ハチミツ,ライフドレイン,スローシャワー,エンカウンター,,,,,,,,,,
187,スパイクシールド,ジャブ,スタンショック,カウンター,,,,,,,,,,
188,ビッグドングリ,ラッキーパンチ,リーフ,クリティカル+20%,,,,,,,,,,
189,タイヤ,アクセル,ボディアタック,ラピッドムーブ,,,,,,,,,,
190,うさちゃん,ポイズンミスト,キュア,ステップムーブ,,,,,,,,,,
191,バナナ,ジャブ,ラッキーパンチ,ステップムーブ,,,,,,,,,,
192,ニードルガード,ボディアタック,ランダムアタック,クリティカル+20%,,,,,,,,,,
193,ブロンズシールド,ガード,タックル,カウンター,,,,,,,,,,
194,ランバーシールド,ジャブ,ラッシュ,デスマーチ,OPTバフ,コインギア,XPバフ,ATKバフ,ゴブリンギア,アンデッドギア,コインギア,LUKバフ,,
195,シードガード,ポイズンアタック,リーフ,XPアップ,,,,,,,,,,
196,フラワーガード,リーフ,キュア,コインプラス,,,,,,,,,,
197,イクラガード,マジックボール,アクア,ふいうち,,,,,,,,,,
198,アクアガード,マジックぼる,アクア,ラピッドムーブ,,,,,,,,,,
199,ブライドガード,マジックボール,ライト,ふいうち,,,,,,,,,,
200,スネイルガード,スローアタック,スローシャワー,カウンター,,,,,,,,,,
201,サンダーガード,アクセル,スタンショック,ラピッドムーブ,スタンギア,INTバフ,,,,,,,,
202,スプリングシールド,チャージ,ダッシュアタック,ステップムーブ,,,,,,,,,,
203,クリスタルガード,マジックアタック,おいのり,コインプラス,,,,,,,,,,
204,きのこ,リーフ,ライフドレイン,XPアップ,,,,,,,,,,
205,トゲトゲシールド,ラッシュ,ポイズンアタック,カウンター,ゴブリンギア,メダマギア,ATKバフ,ダークギア,,,,,,
206,スカルガード,ダーク,ポイズンミスト,とどめ,,,,,,,,,,
207,わらにんぎょう,ダーク,ポイズンミスト,デスマーチ,ダークギア,フレアギア,スタンギア,LUKバフ,ダークギア,INTバフ,,,,
208,ボーンシールド,マジックアタック,ライフドレイン,エンカウンター,,,,,,,,,,
209,ペーパーシールド,アクセル,フレア,XPアップ,,,,,,,,,,
210,,,,,,,,,,,,,,
211,かざぐるま,ダッシュアタック,ソニックウェーブ,ラピッドムーブ,,,,,,,,,,
212,ニク,フレア,めいそう,エンカウンター,フレアギア,アニマルギア,ATKバフ,,,,,,,
213,ライオットシールド,ガード,ボディアタック,カウンター,,,,,,,,,,
214,,,,,,,,,,,,,,
215,アイアンシールド,ガード,タックル,クリティカル+20%,,,,,,,,,,
216,,,,,,,,,,,,,,
217,ヒーローガード,ラッシュ,ライト,クリティカル+20%,,,,,,,,,,
218,,,,,,,,,,,,,,
219,ブック,マジックボール,ダーク,XPアップ,,,,,,,,,,
220,,,,,,,,,,,,,,
221,ブルーシールド,ジャブ,アクア,ラピッドムーブ,,,,,,,,,,
222,,,,,,,,,,,,,,
223,クロックガード,スローアタック,スローシャワー,ラピッドムーブ,,,,,,,,,,
224,,,,,,,,,,,,,,
225,,,,,,,,,,,,,,
226,サボテンシールド,ポイズンアタック,リーフ,カウンター,,,,,,,,,,
227,,,,,,,,,,,,,,
228,,,,,,,,,,,,,,
229,サンガード,フレア,ライト,エンカウンター,フレアギア,インセクトギア,アンデットギア,,,,,,,
230,チェアーガード,ランダムマジック,めいそう,エンカウンター,,,,,,,,,,
231,,,,,,,,,,,,,,
232,,,,,,,,,,,,,,
233,,,,,,,,,,,,,,
234,,,,,,,,,,,,,,
235,ラダーシールド,タックル,ランダムアタック,ふいうち,,,,,,,,,,
236,,,,,,,,,,,,,,
237,,,,,,,,,,,,,,
238,さや,ダッシュアタック,マジックアタック,クリティカル+20%,,,,,,,,,,
239,,,,,,,,,,,,,,
240,クローバー,ランダムアタック,ランダムマジック,コインプラス,,,,,,,,,,
241,,,,,,,,,,,,,,
242,,,,,,,,,,,,,,
243,カオスシールド,ポイズンアタック,ダーク,とどめ,,,,,,,,,,
244,,,,,,,,,,,,,,
245,シャイニングシールド,ライト,スタンショック,ふいうち,,,,,,,,,,
246,,,,,,,,,,,,,,
247,,,,,,,,,,,,,,
248,,,,,,,,,,,,,,
249,ショートケーキ,チャージ,おいのり,デスマーチ,,,,,,,,,,
250,メダマガード,スタンアタック,ダーク,ふいうち,,,,,,,,,,
251,ゴールドシールド,スタンショック,おいのり,コインプラス,,,,,,,,,,
252,,,,,,,,,,,,,,
253,,,,,,,,,,,,,,
254,,,,,,,,,,,,,,
255,,,,,,,,,,,,,,
256,,,,,,,,,,,,,,
257,ブロック,タックル,ボディアタック,とどめ,,,,,,,,,,
258,,,,,,,,,,,,,,
259,,,,,,,,,,,,,,
260,コインガード,ラッキーパンチ,ライト,コインプラス,,,,,,,,,,
261,,,,,,,,,,,,,,
262,ビッグシールド,ガード,タックル,エンカウンター,,,,,,,,,,
263,,,,,,,,,,,,,,
264,,,,,,,,,,,,,,
265,,,,,,,,,,,,,,
266,,,,,,,,,,,,,,
267,,,,,,,,,,,,,,
268,,,,,,,,,,,,,,
