種別,名称,説明
P,XPアップ,獲得XP+50%
M,アクア,水属性の魔法攻撃（INT×2）
A,アクセル,次に与えるダメージをアップ（SPD）
P,エンカウンター,モンスターの出現率アップ
M,おいのり,HPを回復する（LUK？）
P,ガード,次に受けるダメージを軽減（VIT）
P,カウンター,攻撃を受けるとターンが早まる（VIT）
M,キュア,回復魔法（INT）
P,クリティカル+20%,クリティカル+20%
P,コインプラス,ドロップコイン+0〜3
A,ジャブ,かるいスピード攻撃（SPD）
A,スタンアタック,スタンさせる攻撃（ATK）
A,スタンショック,スタンさせる魔法攻撃（INT）
P,ステップムーブ,ステップ移動になる
A,スローアタック,スロー状態にする攻撃（ATK）
M,スローシャワー,スロー状態にする魔法攻撃（INT）
M,ソニックウェーブ,風の魔法攻撃（INT+SPD）
M,ダーク,闇属性の魔法攻撃（INT×2）
A,タックル,かるいたいあたり攻撃（VIT）
A,ダッシュアタック,スピード任せの攻撃（ATK+SPD）
M,チャージ,次に与えるダメージをアップ（INT）
P,デスマーチ,しぬまで歩き続ける
P,とどめ,ラストヒットのダメージ+50%
P,ふいうち,先制攻撃を仕掛ける
M,フレア,炎属性の魔法攻撃（INT×2）
A,ポイズンアタック,毒状態にする攻撃（ATK）
M,ポイズンミスト,毒状態にする魔法攻撃（INT）
A,ボディアタック,体重を乗せた攻撃（ATK+VIT）
A,マジックアタック,まりょくをまとったこうげき（ATK＋INT）
M,マジックボール,かるい魔法攻撃（INT）
M,めいそう,HPを回復する（Lv）
M,ライト,光属性の魔法攻撃（INT×2）
M,ライフドレイン,HPを奪い取る魔法攻撃（INT）
A,ラッキーパンチ,かるいランダム攻撃（LUK？）
A,ラッシュ,突進攻撃（VIT+SPD）
P,ラピッドムーブ,移動スピード+5
A,ランダムアタック,運任せの攻撃（ATK+LUK?）
M,ランダムマジック,ランダムな魔法攻撃（INT+LUK?）
M,リーフ,草属性の魔法攻撃（INT×2）
