#,名称,スキル1,スキル2,スキル3,100pt,250pt,500pt,1000pt,1500pt,2500pt,3500pt,5000pt,7500pt,10000pt
1,ぼくとう,マジックアタック,めいそう,ステップムーブ,XPバフ,OPTバフ,XPギア,アクションギア,SPDバフ,ムーブギア,ゴブリンギア,リザードギア,XPギア,XPバフ
2,こんぼう,タックル,スタンアタック,とどめ,スライムギア,ATKバフ,クリティカルギア,XPギア,アニマルギア,スタンギア,XPバフ,XPバフ,クリティカルギア,VITバフ
3,ダガー,アクセル,ふいうち,コインプラス,ムーブギア,OPTバフ,インセクトギア,コインギア,SPDバフ,ポイズンギア,LUKバフ,アクションギア,インセクトギア,SPDバフ
4,ロングソード,ガード,マジックアタック,クリティカル+20%,OPTバフ,クリティカルギア,アーマーギア,アクションギア,ATKバフ,XPギア,アクションギア,VITバフ,アーマーギア,XPバフ
5,スピア,アクセル,ジャブ,ステップムーブ,メダマギア,OPTバフ,アニマルギア,XPバフ,アクションギア,XPギア,アクションギア,ATKバフ,アニマルギア,VITバフ
6,ウッドハンマー,リーフ,めいそう,とどめ,クリティカルギア,OPTバフ,インセクトギア,LUKバフ,コインギア,ダメージギア,XPバフ,スライムギア,インセクトギア,VITバフ
7,スタッフ,マジックボール,キュア,XPアップ,マジックギア,OPTバフ,マジックギア,INTバフ,ダークギア,XPバフ,ライトギア,LUKバフ,マジックギア,INTバフ
8,ウッドボウ,チャージ,めいそう,ふいうち,OPTバフ,SPDバフ,アニマルギア,XPバフ,コインギア,LUKバフ,マジックギア,INTバフ,アニマルギア,XPバフ
9,ウッドダイス,ラッキーパンチ,おいのり,コインプラス,,,,,,,,,,
10,きのえだ,マジックアタック,リーフ,ふいうち,,,,,,,,,,
11,アクアロッド,マジックボール,アクア,カウンター,アクアギア,INTバフ,,,,,,,,
12,リーフロッド,マジックボール,リーフ,XPアップ,,,,,,,,,,
13,ウイングブレイド,アクセル,ソニックウェーブ,ラピッドムーブ,,,,,,,,,,
14,フレイル,フレア,キュア,クリティカル+20%,,,,,,,,,,
15,ファイヤーロッド,マジックボール,フレア,とどめ,フレアギア,INTバフ,マジックギア,マジックギア,フレアギア,,,,,
16,かたな,ダッシュアタック,フレア,クリティカル+20%,,,,,,,,,,
17,ストーンボウ,ガード,ボディアタック,とどめ,,,,,,,,,,
18,スティンガー,ジャブ,スタンアタック,デスマーチ,,,,,,,,,,
19,フライパン,マジックアタック,フレア,コインプラス,,,,,,,,,,
20,ねこじゃらし,ラッキーパンチ,リーフ,エンカウンター,,,,,,,,,,
21,キリン,ラッシュ,めいそう,カウンター,XPバフ,コインギア,VITバフ,,,,,,,
22,にょいぼう,フレア,おいのり,カウンター,デビルギア,LUKギア,コインギア,ATKバフ,デビルギア,,,,,
23,ピコピコハンマー,ラッキーパンチ,マジックアタック,コインプラス,,,,,,,,,,
24,ハブラシ,ジャブ,アクア,クリティカル+20%,,,,,,,,,,
25,かなぼう,ダーク,デスマーチ,とどめ,,,,,,,,,,
26,まるた,リーフ,めいそう,デスマーチ,アンデットギア,VITバフ,ゴブリンギア,OPTギア,リーフギア,アンデットギア,VITギア,ATKギア,ゴブリンギア,VITギア
27,リーフカッター,タックル,リーフ,ラピッドムーブ,,,,,,,,,,
